STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,SECOND_TERM,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_DESC,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED,Fall_GPA,Spring_GPA,Passed_Count,Failed_Count,Incomplete_Count,First_Completion_Rate,Second_Completion_Rate,Total_Attempt_Hours,Total_Earned_Hours,Total_Completion_Rate,Need_Coverage_Ratio,Unmet_Need_Ratio,Net_Cost,Financial_Difficulty,Major_Category
7808615,18,F,BGD 1,Y,N,1150.0,Fall 2007,Spring 2008,On Campus,0,150.0,4.0,SCHOOL 50,No Information,No Information,Bachelors,16,16,14.0,14.0,0,0,0,0.0,4.0,4.0,6,0,0,1.0,1.0,30.0,30.0,1.0,0.0,0.0,0,0.0,Undeclared
7830063,19,F,BGD 1,N,N,1190.0,Fall 2008,Spring 2009,Off Campus,1,69.0,2.89,SCHOOL 389,College/Beyond,College/Beyond,Bachelors,18,18,18.0,18.0,570000,1355760,785760,459300.0,4.0,3.6666666666666665,6,0,0,1.0,1.0,36.0,36.0,1.0,0.5795716055939104,0.3387767746503806,570000,1029300.0,Undeclared
7847538,18,M,BGD 1,Y,N,1030.0,Fall 2010,Spring 2011,On Campus,1,150.0,3.39,SCHOOL 82,High School,Other/Unknown,Bachelors,15,15,14.0,14.0,0,0,0,0.0,4.0,4.0,6,0,0,1.0,1.0,29.0,29.0,1.0,0.0,0.0,0,0.0,STEM
8006429,18,M,BGD 1,Y,N,1220.0,Fall 2007,Spring 2008,On Campus,1,150.0,2.93,SCHOOL 180,College/Beyond,College/Beyond,Bachelors,13,13,14.0,14.0,0,0,0,0.0,3.6666666666666665,4.0,6,0,0,1.0,1.0,27.0,27.0,1.0,0.0,0.0,0,0.0,Undeclared
7962680,18,F,BGD 1,Y,N,1190.0,Fall 2008,Spring 2009,Off Campus,1,69.0,3.86,SCHOOL 2,College/Beyond,High School,Bachelors,12,12,12.0,12.0,835920,1355760,519840,278340.0,4.0,4.0,6,0,0,1.0,1.0,24.0,24.0,1.0,0.3834306956983537,0.2053018233315631,835920,1114260.0,Arts & Humanities
7815697,18,M,BGD 1,Y,N,1070.0,Fall 2010,Spring 2011,Off Campus,1,69.0,4.0,SCHOOL 5,High School,College/Beyond,Bachelors,15,15,16.0,16.0,0,0,0,0.0,4.0,4.0,6,0,0,1.0,1.0,31.0,31.0,1.0,0.0,0.0,0,0.0,STEM
7838856,18,F,BGD 1,Y,N,590.0,Fall 2005,Spring 2006,Off Campus,1,0.0,3.93,SCHOOL 2,No Information,No Information,Bachelors,16,16,15.0,15.0,0,0,0,0.0,4.0,4.0,6,0,0,1.0,1.0,31.0,31.0,1.0,0.0,0.0,0,0.0,STEM
7960448,18,F,BGD 1,Y,N,740.0,Fall 2005,Spring 2006,Off Campus,1,0.0,4.0,SCHOOL 130,No Information,No Information,Bachelors,16,16,15.0,15.0,0,0,0,0.0,4.0,4.0,6,0,0,1.0,1.0,31.0,31.0,1.0,0.0,0.0,0,0.0,STEM
7944779,18,F,BGD 3,Y,N,1070.0,Fall 2005,Spring 2006,Off Campus,1,150.0,4.0,SCHOOL 54,College/Beyond,College/Beyond,Bachelors,16,16,15.0,15.0,0,0,0,0.0,4.0,4.0,6,0,0,1.0,1.0,31.0,31.0,1.0,0.0,0.0,0,0.0,Business
7902044,18,F,BGD 1,Y,N,990.0,Fall 2006,Spring 2007,Off Campus,1,69.0,3.69,SCHOOL 189,College/Beyond,College/Beyond,Bachelors,16,16,14.0,14.0,0,0,0,0.0,4.0,4.0,6,0,0,1.0,1.0,30.0,30.0,1.0,0.0,0.0,0,0.0,Undeclared
