STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_DESC,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED
7808615,18,F,BGD 1,Y,N,Undeclared,N,1150.0,200708,ANTH 1105,A,ARTH 1100,A,ENGL 1102,A,200802,CHEM 1151,A,CHEM 1151L,A,COMM 1110,A,On Campus,0,150.0,4.0,SCHOOL 50,No Information,No Information,Bachelors,16,16,14.0,14.0,0,0,0,0.0
7830063,19,F,BGD 1,N,N,Undeclared,N,1190.0,200808,ANTH 1105,A,GERM 1002,A,ITDS 2735,A,200902,ECON 2105,A,ENGL 1102,A,ENGL 1102,B,Off Campus,1,69.0,2.89,SCHOOL 389,College/Beyond,College/Beyond,Bachelors,18,18,18.0,18.0,570000,1355760,785760,459300.0
7847538,18,M,BGD 1,Y,N,Mathematics,N,1030.0,201008,ANTH 1105,A,ENGL 1101,A,HIST 2111,A,201102,ENGL 1102,A,ENVS 1105,A,MUSC 1100,A,On Campus,1,150.0,3.39,SCHOOL 82,High School,Other/Unknown,Bachelors,15,15,14.0,14.0,0,0,0,0.0
8006429,18,M,BGD 1,Y,N,Undeclared,N,1220.0,200708,ANTH 1107,A,COMM 1110,A,ENGL 1101,B,200802,ENGL 1102,A,HIST 2112,A,LEAD 1705,A,On Campus,1,150.0,2.93,SCHOOL 180,College/Beyond,College/Beyond,Bachelors,13,13,14.0,14.0,0,0,0,0.0
7962680,18,F,BGD 1,Y,N,Art,N,1190.0,200808,ANTH 1107,A,ARTH 1100,A,CPSC 1105,A,200902,COMM 1110,A,ENGL 1101,A,HIST 2111,A,Off Campus,1,69.0,3.86,SCHOOL 2,College/Beyond,High School,Bachelors,12,12,12.0,12.0,835920,1355760,519840,278340.0
7815697,18,M,BGD 1,Y,N,Political Science,N,1070.0,201008,ARAB 1001,A,HIST 2112,A,MATH 1101,A,201102,BIOL 1215K,A,ENGL 1101,A,ITDS 1156,A,Off Campus,1,69.0,4.0,SCHOOL 5,High School,College/Beyond,Bachelors,15,15,16.0,16.0,0,0,0,0.0
7838856,18,F,BGD 1,Y,N,Biology,N,590.0,200508,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,200602,ENGL 1102,A,ITDS 2735,A,MUSC 1100,A,Off Campus,1,0.0,3.93,SCHOOL 2,No Information,No Information,Bachelors,16,16,15.0,15.0,0,0,0,0.0
7960448,18,F,BGD 1,Y,N,Biology,N,740.0,200508,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,200602,ENGL 1102,A,ITDS 2735,A,MUSC 1100,A,Off Campus,1,0.0,4.0,SCHOOL 130,No Information,No Information,Bachelors,16,16,15.0,15.0,0,0,0,0.0
7944779,18,F,BGD 3,Y,N,Accounting,N,1070.0,200508,ARTH 1100,A,COMM 1110,A,ITDS 2735,A,200602,ECON 2105,A,ENGL 1102,A,MATH 1111,A,Off Campus,1,150.0,4.0,SCHOOL 54,College/Beyond,College/Beyond,Bachelors,16,16,15.0,15.0,0,0,0,0.0
7902044,18,F,BGD 1,Y,N,Undeclared,N,990.0,200608,ARTH 1100,A,COMM 1110,A,ENGL 1101,A,200702,ENGL 1102,A,HIST 2111,A,LEAD 1705,A,Off Campus,1,69.0,3.69,SCHOOL 189,College/Beyond,College/Beyond,Bachelors,16,16,14.0,14.0,0,0,0,0.0
