STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,STDNT_MAJOR,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,CORE_COURSE_NAME_4_F,CORE_COURSE_GRADE_4_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,FATHER_HI_EDU_CD,MOTHER_HI_EDU_CD,DEGREE_GROUP_CD,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED
18,F,BGD 1,Y,Undeclared,1150.0,200708,ANTH 1105,A,ARTH 1100,A,ENGL 1102,A,PSYC 1101,A,200802,CHEM 1151,A,CHEM 1151L,A,COMM 1110,A,On Campus,0,150.0,4.0,3.0,3.0,B,16,16,14.0,14.0,0,0,0,0.0
19,F,BGD 1,N,Undeclared,1190.0,200808,ANTH 1105,A,GERM 1002,A,ITDS 2735,A,MATH 1125,A,200902,ECON 2105,A,ENGL 1102,A,ENGL 1102,B,Off Campus,1,69.0,2.89,3.0,3.0,B,18,18,18.0,18.0,570000,1355760,785760,459300.0
18,M,BGD 1,Y,Mathematics,1030.0,201008,ANTH 1105,A,ENGL 1101,A,HIST 2111,A,MATH 1111,A,201102,ENGL 1102,A,ENVS 1105,A,MUSC 1100,A,On Campus,1,150.0,3.39,2.0,4.0,B,15,15,14.0,14.0,0,0,0,0.0
18,M,BGD 1,Y,Undeclared,1220.0,200708,ANTH 1107,A,COMM 1110,A,ENGL 1101,B,ENGL 1101,A,200802,ENGL 1102,A,HIST 2112,A,LEAD 1705,A,On Campus,1,150.0,2.93,3.0,3.0,B,13,13,14.0,14.0,0,0,0,0.0
18,F,BGD 1,Y,Art,1190.0,200808,ANTH 1107,A,ARTH 1100,A,CPSC 1105,A,MATH 1111,A,200902,COMM 1110,A,ENGL 1101,A,HIST 2111,A,Off Campus,1,69.0,3.86,3.0,2.0,B,12,12,12.0,12.0,835920,1355760,519840,278340.0
18,M,BGD 1,Y,Political Science,1070.0,201008,ARAB 1001,A,HIST 2112,A,MATH 1101,A,MUSC 1100,A,201102,BIOL 1215K,A,ENGL 1101,A,ITDS 1156,A,Off Campus,1,69.0,4.0,2.0,3.0,B,15,15,16.0,16.0,0,0,0,0.0
18,F,BGD 1,Y,Biology,590.0,200508,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,200602,ENGL 1102,A,ITDS 2735,A,MUSC 1100,A,Off Campus,1,0.0,3.93,3.0,3.0,B,16,16,15.0,15.0,0,0,0,0.0
18,F,BGD 1,Y,Biology,740.0,200508,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,200602,ENGL 1102,A,ITDS 2735,A,MUSC 1100,A,Off Campus,1,0.0,4.0,3.0,3.0,B,16,16,15.0,15.0,0,0,0,0.0
18,F,BGD 3,Y,Accounting,1070.0,200508,ARTH 1100,A,COMM 1110,A,ITDS 2735,A,POLS 1101,A,200602,ECON 2105,A,ENGL 1102,A,MATH 1111,A,Off Campus,1,150.0,4.0,3.0,3.0,B,16,16,15.0,15.0,0,0,0,0.0
18,F,BGD 1,Y,Undeclared,990.0,200608,ARTH 1100,A,COMM 1110,A,ENGL 1101,A,MATH 1111,A,200702,ENGL 1102,A,HIST 2111,A,LEAD 1705,A,Off Campus,1,69.0,3.69,3.0,3.0,B,16,16,14.0,14.0,0,0,0,0.0
18,M,BGD 1,N,Criminal Justice,1220.0,200708,ARTH 1100,A,ENGL 1101,A,HIST 1111,A,MATH 1101,A,200802,ENGL 1102,A,ENVS 1105,A,HIST 2111,A,Off Campus,1,4501.0,3.34,3.0,3.0,B,15,15,18.0,15.0,203040,1264860,1061820,203040.0
18,F,BGD 1,Y,Undeclared,1070.0,200708,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ECON 2105,A,200802,ECON 2106,A,ENGL 1102,A,HIST 1112,A,Off Campus,0,69.0,4.0,1.0,2.0,B,16,16,16.0,16.0,0,1189920,5163240,-326880.0
18,F,BGD 6,Y,Biology,1260.0,200808,ARTH 1100,A,ENGL 1102,A,MATH 1132,A,POLS 1101,A,200902,SPAN 1001,A,STAT 1127,A,ENGL 1101,B,Off Campus,1,69.0,3.93,3.0,3.0,B,17,17,13.0,13.0,0,0,0,0.0
17,M,BGD 1,Y,Psychology,1220.0,200808,ARTH 1100,A,ENGL 1101,A,POLS 2401,A,ENGL 1101,A,200902,ENGL 1102,A,HIST 2112,A,MATH 1111,A,Off Campus,1,0.0,4.0,3.0,2.0,B,15,15,16.0,16.0,0,1255740,1344360,-347580.0
18,F,BGD 1,Y,Theatre Arts,1260.0,201008,BIOL 1125,A,COMM 1110,A,MATH 1111,B,COMM 1110,A,201102,MATH 1101,A,THEA 1100,A,ENGL 1102,B,On Campus,1,69.0,3.96,3.0,3.0,B,15,15,18.0,18.0,0,0,0,0.0
18,F,BGD 1,Y,Theatre Arts,1220.0,201008,BIOL 1125,A,COMM 1110,A,MATH 1113,A,COMM 1110,A,201102,ARTH 1100,A,HIST 2112,A,POLS 1101H,A,On Campus,1,150.0,3.35,2.0,3.0,B,18,18,15.0,15.0,0,0,0,0.0
18,F,BGD 1,Y,Undeclared,1070.0,201008,BIOL 1125,A,ECON 2105,A,ENGL 1101,A,HIST 1111,A,201102,BIOL 1215K,A,ENGL 1102,A,HIST 2111,A,Off Campus,1,69.0,3.26,2.0,3.0,B,12,12,17.0,13.0,0,0,0,0.0
17,M,BGD 1,N,Biology,1030.0,200908,BIOL 1215K,A,ITDS 2735,A,STAT 1127,A,POLS 1101,A,201002,BIOL 1225K,A,CHEM 1211,A,CHEM 1211L,A,Off Campus,0,661.0,3.5,3.0,2.0,B,14,14,14.0,14.0,1083000,1324500,241500,476580.0
